CUI	DEF
C1869070	Dementia: deterioration or loss of cognitive functions that impairs activities of daily living (ADLs). Causes: o Metabolic-toxic o Structural o Infectious - Drugs associated with dementia include anticholinergics, sedatives and barbiturates - Other forms of dementia: o Alzheimer's disease o Vascular dementia (10% to 20% of cases); may co-exist with Alzheimer's disease o Some medications (e.g., sleeping pills, anticholinergics, H2 blockers) are known to exacerbate dementia of other etiologies. - Additional characteristics of dementia from multiple references: o Progressive loss of cognitive and intellectual function; disorientation, impaired memory, judgment, and intellect, and a shallow labile affect o Deterioration in cognitive abilities; impairs previously successful performance of ADLs. Comprehension, orientation, learning, calculation, problem solving, mood and behavior may be affected. Deficits in executive function - (planning, initiating and regulating behavior) o Loss of functional autonomy, neuropsychiatric signs/symptoms (agitation, apathy, delusions, aggressiveness) o Aphasia o Apraxia o Agnosia o Impairment of social or occupational functioning - Modified DSM IV criteria for Alzheimer's disease: o Exclusion of other causes o Loss of neurons in cerebral cortex subcortical structures o Memory loss, inability to learn new information, language problems (e.g., word finding), mood swings, personality changes, problems performing ADLs, diminished abstract thinking, diminished judgment, irritability, hostility, agitation, aphasia, visuospatial difficulties, strange behavior, emotional lability, behavioral disorganization, confusion, 'sundowning'.
C1869073	This SMQ is a sub-search of SMQ Pregnancy and neonatal topics. For detailed description, please refer to the one in SMQ Pregnancy and neonatal topics.
C1869075	A seizure is a paroxysmal event due to abnormal, excessive, hypersynchronous discharges from an aggregate of central nervous system (CNS) neurons. Manifestations range from dramatic convulsive activity to experiential phenomena not readily discernible by an observer. Epilepsy should be distinguished from seizure. Epilepsy is a condition with recurrent seizures due to a chronic, underlying process. Epilepsy is not a single disease entity and there are various epilepsy syndromes. Convulsions are the motor component of cerebral seizures. Convulsions are characterized by contractions of skeletal muscles, appearing abruptly and involuntarily. These contractions may be tonic or clonic and they may be focal or generalized. International Classification of Epileptic Seizures (1981): 1. Partial seizures a. Simple partial seizures (with motor, sensory, autonomic, or psychic signs) b. Complex partial seizures c. Partial seizures with secondary generalization 2. Primarily generalized seizures a. Absence (petit mal) b. Tonic clonic (grand mal) c. Tonic d. Atonic e. Myoclonic 3. Unclassified seizures a. Neonatal seizure b. Infantile spasms
C1869076	Pseudomembranous colitis is a severe, necrotizing process that involves the large intestine and occurs as a complication of antibiotic therapy. It occasionally occurs in the absence of antibiotic exposure; a predisposing condition is often present, e.g., recent bowel surgery, uraemia, intestinal ischaemia, chemotherapy, bone marrow transplantation. The responsible pathogen is Clostridium difficile, a member of the normal flora that overgrows in the presence of certain antibiotics or in the absence of normal bacterial flora due to other factors. Culture and toxin tests are available to identify C. difficile but a positive microbiology test(s) in the absence of clinical findings does not support a definitive diagnosis of pseudomembranous colitis. Many reports of diarrhoea associated with antibiotic therapy may not have definitive diagnoses or specific tests for pseudomembranous colitis. Uncomplicated antibiotic-induced diarrhoea usually subsides spontaneously within two weeks of antibiotic discontinuation. For persisting symptoms or frank colitis, aggressive therapy may be required to restore balance of the bacterial flora within the lumen of the intestinal tract.
C1869077	Thrombotic disorders are diseases characterized by formation of a thrombus that obstructs vascular blood flow locally or detaches and embolizes to occlude blood flow downstream. Embolism is the sudden blocking of a vessel by a clot or foreign material which has been brought to its site of lodgement by the blood current. (Thrombo-)phlebitis is an inflammation of a vein (phlebitis) associated with thrombus formation (thrombosis).
C1869078	This SMQ is a sub-SMQ of Embolic and thrombotic events (SMQ). For detailed description, please refer to the one in Embolic and thrombotic events (SMQ).
C1869079	This SMQ is a sub-SMQ of Embolic and thrombotic events (SMQ). For detailed description, please refer to the one in Embolic and thrombotic events (SMQ).
C1869080	This SMQ is a sub-SMQ of Embolic and thrombotic events (SMQ). For detailed description, please refer to the one in Embolic and thrombotic events (SMQ).
C1869081	Premalignant lesions: morphologically identifiable lesions that sometimes precede the development of invasive cancer o Also called precancers, preneoplastic lesions, incipient cancers, intraepithelial neoplasias, and preinvasive cancers o May lack constitutive properties of cancer o May have certain attributes that are absent in cancers o Need not progress to cancer o Often have a high rate of regression o When premalignant lesion progresses, cancer is the obligate outcome.
C1869082	Premalignant lesions: morphologically identifiable lesions that sometimes precede the development of invasive cancer o Also called precancers, preneoplastic lesions, incipient cancers, intraepithelial neoplasias, and preinvasive cancers o May lack constitutive properties of cancer o May have certain attributes that are absent in cancers o Need not progress to cancer o Often have a high rate of regression o When premalignant lesion progresses, cancer is the obligate outcome.
C1869083	Premalignant lesions: morphologically identifiable lesions that sometimes precede the development of invasive cancer o Also called precancers, preneoplastic lesions, incipient cancers, intraepithelial neoplasias, and preinvasive cancers o May lack constitutive properties of cancer o May have certain attributes that are absent in cancers o Need not progress to cancer o Often have a high rate of regression o When premalignant lesion progresses, cancer is the obligate outcome.
C1869084	Premalignant lesions: morphologically identifiable lesions that sometimes precede the development of invasive cancer o Also called precancers, preneoplastic lesions, incipient cancers, intraepithelial neoplasias, and preinvasive cancers o May lack constitutive properties of cancer o May have certain attributes that are absent in cancers o Need not progress to cancer o Often have a high rate of regression o When premalignant lesion progresses, cancer is the obligate outcome.
C1869085	Premalignant lesions: morphologically identifiable lesions that sometimes precede the development of invasive cancer o Also called precancers, preneoplastic lesions, incipient cancers, intraepithelial neoplasias, and preinvasive cancers o May lack constitutive properties of cancer o May have certain attributes that are absent in cancers o Need not progress to cancer o Often have a high rate of regression o When premalignant lesion progresses, cancer is the obligate outcome.
C1869086	Malignancies (SMQ) includes terms for: all types of malignant or unspecified tumors; malignancy related conditions; malignancy related therapeutic and diagnostic procedures; and tumour markers. [Note: Premalignant disorders are in a separate SMQ]. There are ten sub-SMQs which can be used separately or in combination. Malignancies (SMQ) is subdivided into four sub-SMQs: Malignant or unspecified tumours (SMQ); Malignancy related conditions (SMQ); Malignancy related therapeutic and diagnostic procedures (SMQ); and Tumour markers (SMQ). Malignant or unspecified tumours (SMQ) contains all MedDRA terms for malignant or unspecified tumors, which is further subdivided into two separate sub-SMQs: Malignant tumours (SMQ); and Tumours of unspecified malignancy (SMQ). Malignant tumours (SMQ) is subordinated by Haematological malignant tumours (SMQ); and Non-haematological malignant tumours (SMQ). Tumours of unspecified malignancy (SMQ) is subordinated by Haematological tumours of unspecified malignancy (SMQ); and Non-haematological tumours of unspecified malignancy (SMQ).
C1869087	Malignancies (SMQ) includes terms for: all types of malignant or unspecified tumors; malignancy related conditions; malignancy related therapeutic and diagnostic procedures; and tumour markers. [Note: Premalignant disorders are in a separate SMQ]. There are ten sub-SMQs which can be used separately or in combination. Malignancies (SMQ) is subdivided into four sub-SMQs: Malignant or unspecified tumours (SMQ); Malignancy related conditions (SMQ); Malignancy related therapeutic and diagnostic procedures (SMQ); and Tumour markers (SMQ). Malignant or unspecified tumours (SMQ) contains all MedDRA terms for malignant or unspecified tumors, which is further subdivided into two separate sub-SMQs: Malignant tumours (SMQ); and Tumours of unspecified malignancy (SMQ). Malignant tumours (SMQ) is subordinated by Haematological malignant tumours (SMQ); and Non-haematological malignant tumours (SMQ). Tumours of unspecified malignancy (SMQ) is subordinated by Haematological tumours of unspecified malignancy (SMQ); and Non-haematological tumours of unspecified malignancy (SMQ).
C1869088	Malignancies (SMQ) includes terms for: all types of malignant or unspecified tumors; malignancy related conditions; malignancy related therapeutic and diagnostic procedures; and tumour markers. [Note: Premalignant disorders are in a separate SMQ]. There are ten sub-SMQs which can be used separately or in combination. Malignancies (SMQ) is subdivided into four sub-SMQs: Malignant or unspecified tumours (SMQ); Malignancy related conditions (SMQ); Malignancy related therapeutic and diagnostic procedures (SMQ); and Tumour markers (SMQ). Malignant or unspecified tumours (SMQ) contains all MedDRA terms for malignant or unspecified tumors, which is further subdivided into two separate sub-SMQs: Malignant tumours (SMQ); and Tumours of unspecified malignancy (SMQ). Malignant tumours (SMQ) is subordinated by Haematological malignant tumours (SMQ); and Non-haematological malignant tumours (SMQ). Tumours of unspecified malignancy (SMQ) is subordinated by Haematological tumours of unspecified malignancy (SMQ); and Non-haematological tumours of unspecified malignancy (SMQ).
C1869089	Malignancies (SMQ) includes terms for: all types of malignant or unspecified tumors; malignancy related conditions; malignancy related therapeutic and diagnostic procedures; and tumour markers. [Note: Premalignant disorders are in a separate SMQ]. There are ten sub-SMQs which can be used separately or in combination. Malignancies (SMQ) is subdivided into four sub-SMQs: Malignant or unspecified tumours (SMQ); Malignancy related conditions (SMQ); Malignancy related therapeutic and diagnostic procedures (SMQ); and Tumour markers (SMQ). Malignant or unspecified tumours (SMQ) contains all MedDRA terms for malignant or unspecified tumors, which is further subdivided into two separate sub-SMQs: Malignant tumours (SMQ); and Tumours of unspecified malignancy (SMQ). Malignant tumours (SMQ) is subordinated by Haematological malignant tumours (SMQ); and Non-haematological malignant tumours (SMQ). Tumours of unspecified malignancy (SMQ) is subordinated by Haematological tumours of unspecified malignancy (SMQ); and Non-haematological tumours of unspecified malignancy (SMQ).
C1869090	Malignancies (SMQ) includes terms for: all types of malignant or unspecified tumors; malignancy related conditions; malignancy related therapeutic and diagnostic procedures; and tumour markers. [Note: Premalignant disorders are in a separate SMQ]. There are ten sub-SMQs which can be used separately or in combination. Malignancies (SMQ) is subdivided into four sub-SMQs: Malignant or unspecified tumours (SMQ); Malignancy related conditions (SMQ); Malignancy related therapeutic and diagnostic procedures (SMQ); and Tumour markers (SMQ). Malignant or unspecified tumours (SMQ) contains all MedDRA terms for malignant or unspecified tumors, which is further subdivided into two separate sub-SMQs: Malignant tumours (SMQ); and Tumours of unspecified malignancy (SMQ). Malignant tumours (SMQ) is subordinated by Haematological malignant tumours (SMQ); and Non-haematological malignant tumours (SMQ). Tumours of unspecified malignancy (SMQ) is subordinated by Haematological tumours of unspecified malignancy (SMQ); and Non-haematological tumours of unspecified malignancy (SMQ).
C1869091	A condition in which the heart is unable to pump an adequate amount of blood to meet metabolic and physiological needs of body. Classified (classes I - IV) on basis of severity according to criteria set by New York Heart Association (NYHA) starting from no limitation of physical activity to slight or marked limitation, up to the inability to carry out any physical activity without discomfort. Clinical findings vary but include: dependent oedema, raised jugular venous pressure, hepatomegaly, pulmonary congestion/oedema, tachycardia, cardiomegaly, and dyspnoea. Ejection fraction is less than 35%.
C1869092	A disturbance of motor function caused by lesions or dysfunctions of the extrapyramidal motor system and may present as hyperkinetic-hypotonic or as akinetic-rigid disorder. Drug-induced movement disorders may occur in association with levodopa or dopamine agonist therapy or drugs with central dopamine receptor antagonist properties, anticholinergic drugs, some anticonvulsant drugs, and amphetamines. Divided into the 4 disorder complexes associated with disease of the basal ganglia. o Akathisia: subjective feelings of restlessness, objective signs of restlessness, or both. o Dyskinesia: (including tardive dyskinesia): involuntary choreoathetoid movements commonly involving orofacial region, fingers, and toes. Athetoid movements of head, neck, and hips may also occur. o Dystonia: brief or prolonged contractions of muscles resulting in abnormal movements or postures, including oculogyric crises, tongue protrusion, trismus, torticollis, laryngeal-pharyngeal dystonias, and dystonic postures of the limbs and trunk. o Parkinson's like events: triad of resting tremor, rigidity and bradykinesia that can appear identical to Idiopathic Parkinson's disease. Other Parkinson's-like features include bradyphrenia (slowed thinking), excessive salivation, drooling, shuffling gait, micrographia, hypophonia, and diminished postural reflexes.
C1869093	This SMQ is a sub-SMQ of Extrapyramidal syndrome (SMQ). For a detailed description, please refer to the one in Extrapyramidal syndrome (SMQ).
C1869094	This SMQ is a sub-SMQ of Extrapyramidal syndrome (SMQ). For a detailed description, please refer to the one in Extrapyramidal syndrome (SMQ).
C1869095	This SMQ is a sub-SMQ of Extrapyramidal syndrome (SMQ). For a detailed description, please refer to the one in Extrapyramidal syndrome (SMQ).
C1869096	This SMQ is a sub-SMQ of Extrapyramidal syndrome (SMQ). For a detailed description, please refer to the one in Extrapyramidal syndrome (SMQ).
C1869098	This SMQ is a sub-SMQ of Cardiac arrhythmias (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869099	This SMQ is a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmias (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869100	This SMQ is a sub-SMQ of Cardiac arrhythmia terms (incl bradyarrhythmias and tachyarrhythmias) (SMQ), which is itself a sub-SMQ of Cardiac arrhythmias (SMQ). For detailed description, please refer to the one in Cardiac arrhythmias (SMQ).
C1869102	This SMQ is a sub-SMQ of Haemorrhages (SMQ). For detailed description, please refer to the one in Haemorrhages (SMQ).
C1963969	Drug abuse: Habitual use of drugs that are; not needed for therapeutic purposes (e.g., to alter mood); to effect a body function unnecessarily (e.g., laxative); and non-medical use of drugs. Prevalence of cocaine, other psychostimulant abuse appears to be increasing in some metropolitan areas. Initiation and persistence of drug abuse determined by complex interaction of: pharmacologic properties and relative availability of drug, the personality and the expectation of the user, and the environmental context in which the drug is used. Polydrug abuse is increasingly common. May be an acute or a chronic intoxication. Symptoms vary according to pharmacologic properties, dose, and regular use of drug. Withdrawal: (NOTE: In the CIOMS Working Group original documentation, sub-search SMQ Drug withdrawal is referred to as SMQ Withdrawal) Abrupt cessation of use in a habituated person. A substance specific syndrome follows cessation or reduction in intake of a psychoactive substance previously used regularly. Withdrawal symptoms vary according to psychoactive substance used: generally opposite the acute effects of drug; include nonspecific symptoms e.g., nausea, diarrhea or obstipation, profuse sweating, increase in respiratory rate, tachycardia; and common symptoms include anxiety, restlessness, irritability, insomnia, impaired attention.
C1963971	This SMQ is a sub-SMQ of Drug abuse, dependence and withdrawal (SMQ). For a detailed description, please refer to the one in Drug abuse, dependence and withdrawal (SMQ).
C1963972	This SMQ is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. Gastrointestinal perforation: Perforation is act of boring or piercing through a part or a hole made through a part or substance. Gastrointestinal perforation - perforation of all layers of gastrointestinal tract. It can be uncovered (in direct contact with the whole peritoneal cavity) or covered (localized by the omentum or other organs). Gastrointestinal perforation is characterised by localized or diffused peritonitis and manifested as generalized rigidity of abdominal wall, severe pain, and ileus. Uncovered perforation is confirmed by demonstration of free gas in abdominal cavity (X-ray of diaphragmatic region with patient in upright position). Gastrointestinal ulceration: Ulceration is a local defect or excavation of surface of an organ or tissue; produced by sloughing of inflammatorynecrotic tissue. Gastrointestinal hemorrhage: Hemorrhage is escape of blood from any vessel or tissue. Gastrointestinal hemorrhage is escape of blood from any part of gastrointestinal tract. Gastrointestinal obstruction: Obstruction is the act of blocking or clogging or state or condition of being clogged. Gastrointestinal obstruction is hindrance to passage of gastrointestinal contents.
C1963973	SMQ Gastrointestinal perforation, ulceration, haemorrhage or obstruction is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. This sub-search SMQ is intended for use in conjunction with the other sub-SMQs.
C1963974	This SMQ is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. Gastrointestinal obstruction: Obstruction is the act of blocking or clogging or state or condition of being clogged. Gastrointestinal obstruction is hindrance to passage of gastrointestinal contents.
C1963975	This SMQ is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. Gastrointestinal ulceration: Ulceration is a local defect or excavation of surface of an organ or tissue; produced by sloughing of inflammatorynecrotic tissue.
C1963976	This SMQ is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. Gastrointestinal perforation: Perforation is act of boring or piercing through a part or a hole made through a part or substance. Gastrointestinal perforation - perforation of all layers of gastrointestinal tract. It can be uncovered (in direct contact with the whole peritoneal cavity) or covered (localized by the omentum or other organs). Gastrointestinal perforation is characterised by localized or diffused peritonitis and manifested as generalized rigidity of abdominal wall, severe pain, and ileus. Uncovered perforation is confirmed by demonstration of free gas in abdominal cavity (X-ray of diaphragmatic region with patient in upright position).
C1963977	This SMQ is intended to identify relevant MedDRA terms used in a search for cases of possible gastrointestinal perforation, ulceration, haemorrhage or obstruction. Gastrointestinal hemorrhage: Hemorrhage is escape of blood from any vessel or tissue. Gastrointestinal hemorrhage is escape of blood from any part of gastrointestinal tract.
C1963978	Oropharynx includes oral cavity bounded by: buccal aspect of lips; palate; floor of mouth; and posterior pharyngeal wall. Included in SMQ Oropharyngeal disorders are terms related to lesions and disorders falling wholly or partly within any part of oral cavity or pharynx; oropharyngeal neoplasms, cysts, and pre-neoplastic lesions; oropharyngeal infections; and gingival disorders. Excluded from SMQ Oropharyngeal disorders are: terms related to lesions or disorders of larynx and structures below larynx; terms related to lesions or disorders of nasal cavity; and investigations, surgical, therapeutic and medical procedures of the oropharynx (e.g., biopsy).
C1963979	Oropharynx includes oral cavity bounded by: buccal aspect of lips; palate; floor of mouth; and posterior pharyngeal wall. Included in SMQ Oropharyngeal disorders are terms related to lesions and disorders falling wholly or partly within any part of oral cavity or pharynx; oropharyngeal neoplasms, cysts, and pre-neoplastic lesions; oropharyngeal infections; and gingival disorders. Excluded from SMQ Oropharyngeal disorders are: terms related to lesions or disorders of larynx and structures below larynx; terms related to lesions or disorders of nasal cavity; and investigations, surgical, therapeutic and medical procedures of the oropharynx (e.g., biopsy). SMQ Oropharyngeal neoplasms includes terms for neoplasms that occur within oral cavity (excluding salivary gland and dental neoplasms)
C1963980	Oropharynx includes oral cavity bounded by: buccal aspect of lips; palate; floor of mouth; and posterior pharyngeal wall. Included in SMQ Oropharyngeal disorders are terms related to lesions and disorders falling wholly or partly within any part of oral cavity or pharynx; oropharyngeal neoplasms, cysts, and pre-neoplastic lesions; oropharyngeal infections; and gingival disorders. Excluded from SMQ Oropharyngeal disorders are: terms related to lesions or disorders of larynx and structures below larynx; terms related to lesions or disorders of nasal cavity; and investigations, surgical, therapeutic and medical procedures of the oropharynx (e.g., biopsy). SMQ Oropharyngeal infections includes terms for infections that can be observed within oral cavity, including those caused by viruses and bacteria.
C1963981	Oropharynx includes oral cavity bounded by: buccal aspect of lips; palate; floor of mouth; and posterior pharyngeal wall. Included in SMQ Oropharyngeal disorders are terms related to lesions and disorders falling wholly or partly within any part of oral cavity or pharynx; oropharyngeal neoplasms, cysts, and pre-neoplastic lesions; oropharyngeal infections; and gingival disorders. Excluded from SMQ Oropharyngeal disorders are: terms related to lesions or disorders of larynx and structures below larynx; terms related to lesions or disorders of nasal cavity; and investigations, surgical, therapeutic and medical procedures of the oropharynx (e.g., biopsy). SMQ Oropharyngeal allergic conditions includes terms for allergic conditions which can be observed within oral cavity such as oedemas.
C1963982	Oropharynx includes oral cavity bounded by: buccal aspect of lips; palate; floor of mouth; and posterior pharyngeal wall. Included in SMQ Oropharyngeal disorders are terms related to lesions and disorders falling wholly or partly within any part of oral cavity or pharynx; oropharyngeal neoplasms, cysts, and pre-neoplastic lesions; oropharyngeal infections; and gingival disorders. Excluded from SMQ Oropharyngeal disorders are: terms related to lesions or disorders of larynx and structures below larynx; terms related to lesions or disorders of nasal cavity; and investigations, surgical, therapeutic and medical procedures of the oropharynx (e.g., biopsy). SMQ Gingival disorders includes: all terms with gingival which are not clearly infection or neoplasms such as PT Gingival discoloration, PT Gingival hyperplasia; and other terms related to the gums such as PT Periodontal destruction and PT Peridontitis.
C1963984	Thrombophlebitis is an inflammation of a vein (phlebitis), associated with thrombus formation (thrombosis)
C1963985	Acute central respiratory depression is a form of respiratory failure. Respiratory failure is defined as impairment of gas exchange between ambient air and circulating blood: problems in intrapulmonary gas exchange lead to hypoxemia and problems in the movement of gases cause hypercapnia. Depression of the respiratory center with resulting respiratory acidosis may occur: acutely with general anesthetics, sedatives, and head trauma, or chronically with sedatives, alcohol, intracranial tumors, and syndromes of sleep-disordered breathing, including the primary alveolar and obesity-hypoventilation syndromes. Acute hypoxemia may cause cardiac arrhythmia and coma. Alteration of consciousness is typical, confusion is common. Acute hypercapnia may cause: subtle personality changes and headache through to marked confusion and narcosis, cerebral vasodilation and increased CSF pressure, acidemia which, when severe, contributes to pulmonary arteriolar vasoconstriction, systemic vascular dilation, reduced myocardial contractility, hyperkalemia, hypotension, and cardiac irritability. Central respiratory depression mainly occurs in neonates of prematurity or in sleep apnea. Apnea of prematurity may be caused by CNS immaturity (central) or airway obstruction. Central sleep apnea (CSA) has two categories: 1. Hypercapnia with decreased ventilatory drive or a decreased ability to breathe. 2. Eucapnia or hypocapnia with increased ventilatory drive but sleep-induced apnea and periodic breathing. Cheyne-Stokes breathing is a discrete pattern of this form of CSA that may be seen in opiate associated respiratory depression.
C1963986	Psychosis refers to a mental disorder characterized by gross impairment in reality testing evidenced by: delusions, hallucinations, markedly incoherent speech, disorganized and agitated behavior, usually without apparent awareness on the patient's part. Psychosis is also used in a more general sense to refer to mental disorders in which mental functioning is sufficiently impaired as to interfere grossly with patient's capacity to meet the ordinary demands of life. Psychosis can be caused by many psychiatric disorders such as: schizophrenia, schizoaffective disorder, delusional disorder, brief psychotic reaction, mania with psychosis, depression with psychosis, dementia, and delirium. Psychosis is also associated with: certain illicit drugs (cocaine, amphetamine, etc.) and medications (dopamine agonists, l-dopa, psychostimulants, etc.). In schizophrenia, schizophreniform disorder, schizoaffective disorder, and brief psychotic disorder, the term psychotic refers to delusions, any prominent hallucinations, disorganized speech or disorganized or catatonic behavior.
C1963987	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Functional, inflammatory and gallstone related biliary disorders includes all types of functional, inflammatory and gallstone related biliary disorders and excludes neoplasms and congenital disorders. SMQ Biliary system related investigations, signs and symptoms covers investigations, signs and symptoms. It is usually used in combination with one or more of the other sub-search SMQs of this hierarchy.
C1963988	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Functional, inflammatory and gallstone related biliary disorders includes all types of functional, inflammatory and gallstone related biliary disorders and excludes neoplasms and congenital disorders. SMQ Biliary system related investigations, signs and symptoms covers investigations, signs and symptoms. It is usually used in combination with one or more of the other sub-search SMQs of this hierarchy.
C1963989	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Infectious biliary disorders covers infections of the biliary tract and inflammatory conditions which are possibly the result of infection.
C1963990	SMQ Biliary disorders was developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Biliary neoplasms malignant and unspecified covers malignant and unspecified biliary neoplasms and has two separate sub-search SMQs - one for malignant tumors and one for tumors of unspecified malignancy.
C1963991	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Congenital biliary disorders covers congenital disorders of biliary system.
C1963992	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Functional, inflammatory and gallstone related biliary disorders includes all types of functional, inflammatory and gallstone related biliary disorders and excludes neoplasms and congenital disorders. SMQ Biliary system related investigations, signs and symptoms covers investigations, signs and symptoms. It is usually used in combination with one or more of the other sub-search SMQs of this hierarchy.
C1963993	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Functional, inflammatory and gallstone related biliary disorders includes all types of functional, inflammatory and gallstone related biliary disorders and excludes neoplasms and congenital disorders. SMQ Gallbladder related disorders covers specific disorders of the gallbladder.
C1963996	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Functional, inflammatory and gallstone related biliary disorders includes all types of functional, inflammatory and gallstone related biliary disorders and excludes neoplasms and congenital disorders. SMQ Gallstone related disorders covers conditions related to gallstones.
C1963997	SMQ Biliary disorders was developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Biliary neoplasms malignant and unspecified covers malignant and unspecified biliary neoplasms and has two separate sub-search SMQs - one for malignant tumors and one for tumors of unspecified malignancy.
C1963998	Developed to detect all types of disorders related to the biliary tract (treatment-associated or as medical history). Concerns all types of gallbladder and bile duct disorders. SMQ Biliary neoplasms covers biliary neoplasms irrespective of malignancy. SMQ Biliary neoplasms benign covers benign biliary neoplasms.
C1963999	The Fifth World Symposium on Pulmonary Hypertension, 2013, established a new classification of pulmonary hypertension (PH), and a new definition was released in 2015, which impacted the case identification parameters for Pulmonary hypertension (SMQ). A decision was therefore made to revise Pulmonary hypertension (SMQ). A new definition and new inclusion/exclusion criteria were established, based upon the conclusions of the Fifth World Symposium on Pulmonary Hypertension, and of The Joint Task Force for the Diagnosis and Treatment of Pulmonary Hypertension of the European Society of Cardiology (ESC) and the European Respiratory Society (ERS). The updated term list was subjected to testing. PH has previously been defined as a resting mean pulmonary arterial pressure (mPAP) > 25 mm Hg, or an mPAP with exercise > 30 mm Hg. The subgroup of PH known as pulmonary arterial hypertension (PAH) adds the criterion that the pulmonary arterial wedge pressure must be <= 15 mm Hg. Some definitions have also included pulmonary vascular resistance (PVR), requiring that it be >= 2 or 3 Wood units. Potential weaknesses of the previous definition are that the level, type, and posture of exercise had not been specified. Furthermore, the normal exercise pulmonary arterial pressure (PAP) varies with age. Clarification of the definition based on available evidence was an important objective of the 2015 ESC/ERS guideline. The new definition of PH is a resting mPAP >= 25 mm Hg. Further studies are needed to better determine the natural history of patients with mPAP 21 to 24 mm Hg. The exercise and PVR criteria should be eliminated. A resting mPAP of 8 to 20 mm Hg should be considered normal, based on available evidence.
C1964000	Guillain-Barre syndrome (GBS) is an immune-mediated, acute inflammatory demyelinating polyneuropathy (AIDP). Condition commonly follows a viral or mycoplasmal illness affecting the upper respiratory or alimentary tracts. Other antecedent events include certain vaccinations. Immune responses directed toward the infecting organisms likely cross-react with neural tissues including Schwann cell surface membrane (resulting in AIDP) or axonal membrane (acute axonal forms). GBS is usually characterized by: weakness or paralysis affecting more than one limb, usually symmetrically; loss of tendon reflexes; and increased cerebrospinal fluid (CSF) protein without pleocytosis. Other features may include: motor and sensory involvement; facial or cranial nerve involvement; and electrophysiologic evidence of demyelination. Acute form of GBS has a typically rapid evolution from hours to days, usually reaching maximum level of weakness within four weeks. Condition is classified as chronic inflammatory demyelinating polyneuropathy (CIDP) if patient's symptoms continue to progress beyond 4 weeks, or relapses occur. Peak disability in CIDP usually occurs in two months.
C1964001	Encephalitis is defined as inflammation of the brain. Commonly has an infectious etiology. May also be drug-induced (focus of this SMQ). Mixed disorders such as encephalomyelitis, encephalomyeloradiculitis, or encephalo-myelopathy may present with overlapping symptoms. Signs and symptoms include: acute febrile illness characteristic of meningitis; confusion; behavioral abnormalities, including frank psychosis; altered level of consciousness; focal or generalized seizures; and focal neurological disturbances including aphasia, ataxia, hemiparesis, involuntary movements, cranial nerve deficits. Involvement of the hypothalamic-pituitary axis may result in temperature dysregulation, diabetes insipidus, or development of SIADH. Characteristic cerebrospinal fluid (CSF) profile consists of lymphocytic pleocytosis, mildly elevated protein concentration and normal glucose concentration. MRI, CT, and EEG abnormalities may occur.
