CUI	SAB	DEF
C0009443	NCI	An inflammatory process affecting the nasal mucosa, usually caused by viruses (e.g., rhinovirus, adenovirus, parainfluenza virus, and coronavirus). It is characterized by chills, headaches, mucopurulent nasal discharge, coughing, and facial pain.
C0009443	NCI_NICHD	Inflammation of the mucous membrane lining the nose due to infection.
C0009443	MEDLINEPLUS	<p>Sneezing, <a href=https://medlineplus.gov/sorethroat.html>sore throat</a>, a stuffy nose, coughing - everyone knows the symptoms of the common cold. It is probably the most common illness. In the course of a year, people in the United States suffer 1 billion colds.</p> <p>You can get a cold by touching your eyes or nose after you touch surfaces with cold germs on them. You can also inhale the germs. Symptoms usually begin 2 or 3 days after infection and last 2 to 14 days. Washing your hands and staying away from people with colds will help you avoid colds. </p> <p>There is no cure for the common cold. But there are treatments that can make you feel better while you wait for the cold to go away on its own:</p> <ul> <li>Getting plenty of rest </li> <li>Drinking fluids</li> <li>Gargling with warm salt water </li> <li>Using cough drops or throat sprays</li> <li>Taking over-the-counter pain or <a href=https://medlineplus.gov/coldandcoughmedicines.html>cold medicines</a></li> </ul> <p>However, do not give aspirin to children. And do not give cough medicine to children under four.</p>
C0009443	NCI	An acute inflammatory process that affects the nasopharynx. It is caused by viruses. Signs and symptoms include fever, coughing, sneezing, and sore throat.
C0009443	MSHPOR	Doença catarral do trato respiratório superior, que pode ser resultado de uma infecção viral ou mista. Geralmente envolve coriza, congestão nasal e espirros.
C0011854	CSP	subtype of diabetes mellitus that is characterized by insulin deficiency; it is manifested by the sudden onset of severe hyperglycemia, rapid progression to diabetic ketoacidosis, and death unless treated with insulin; the disease may occur at any age, but is most common in childhood or adolescence.
C0011854	MSHCZE	Typ diabetu, pro který je charakteristický deficit inzulinu. Projevuje se náhle těžkou hyperglykemií a rychle se vyvíjející diabetickou ketoacidózou. Pokud se neléčí inzulinem, končí fatálně. Onemocnění může vzniknout v jakémkoli věku, ale nejčastěji se objevuje v dětství a v adolescenci.
C0011854	NCI_NICHD	Diabetes mellitus caused by cell-mediated autoimmune destruction of pancreatic beta cells.
C0011854	NCI	A chronic condition characterized by minimal or absent production of insulin by the pancreas.
C0011854	MEDLINEPLUS	<p><a href=https://medlineplus.gov/diabetes.html>Diabetes</a> means your blood glucose, or <a href=https://medlineplus.gov/bloodsugar.html>blood sugar</a>, levels are too high. With type 1 diabetes, your pancreas does not make insulin. Insulin is a hormone that helps glucose get into your cells to give them energy. Without insulin, too much glucose stays in your blood. Over time, high blood glucose can lead to <a href=https://medlineplus.gov/diabetescomplications.html>serious problems</a> with your <a href=https://medlineplus.gov/diabeticheartdisease.html>heart</a>, <a href=https://medlineplus.gov/diabeticeyeproblems.html>eyes</a>, <a href=https://medlineplus.gov/diabetickidneyproblems.html>kidneys</a>, <a href=https://medlineplus.gov/diabeticnerveproblems.html>nerves</a>, and gums and teeth. </p> <p>Type 1 diabetes happens most often in <a href=https://medlineplus.gov/diabetesinchildrenandteens.html>children</a> and young adults but can appear at any age. Symptoms may include</p> <ul> <li> Being very thirsty </li> <li> Urinating often </li> <li> Feeling very hungry or tired </li> <li> Losing weight without trying </li> <li> Having sores that heal slowly </li> <li> Having dry, itchy skin </li> <li> Losing the feeling in your feet or having tingling in your feet </li> <li> Having blurry eyesight </li> </ul> <p>A blood test can show if you have diabetes. If you do, you will need to take <a href=https://medlineplus.gov/diabetesmedicines.html>insulin</a> for the rest of your life. A blood test called the <a href=https://medlineplus.gov/a1c.html>A1C</a> can check to see how well you are managing your diabetes.</p> <p class=>NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>
C0011854	MSHNOR	En undergruppe av diabetes mellitus kjennetegnet av insulinmangel, plutselig sykdomsdebut, alvorlig hyperglykemi, raskt tiltakende ketoacidose og død hvis ikke insulinbehandling settes i gang. Sykdommen kan oppstå i alle aldre, men er vanligst hos barn og unge.
C0011854	HPO	A chronic condition in which the pancreas produces little or no insulin. Type I diabetes mellitus is manifested by the sudden onset of severe hyperglycemia with rapid progression to diabetic ketoacidosis unless treated with insulin. [HPO:probinson]
C0011854	MSH	A subtype of DIABETES MELLITUS that is characterized by INSULIN deficiency. It is manifested by the sudden onset of severe HYPERGLYCEMIA, rapid progression to DIABETIC KETOACIDOSIS, and DEATH unless treated with insulin. The disease may occur at any age, but is most common in childhood or adolescence.
C0011854	MSHPOR	Subtipo de DIABETES MELLITUS caracterizada por deficiência de INSULINA. Manifesta-se por um início repentino de intensa HIPERGLICEMIA, progressão rápida a CETOACIDOSE DIABÉTICA e MORTE, a menos que tratada com insulina. A doença pode ocorrer em qualquer idade, mas é mais comum durante a infância ou adolescência.
C0013378	MSH	A condition characterized by alterations of the sense of taste which may range from mild to severe, including gross distortions of taste quality.
C0013378	MSHCZE	Změna vnímání chuti s různým stupněm závažnosti včetně výrazných změn chuťových vjemů.
C0013378	HPO	A distortion of the sense of taste, often characterized by the sensation of a metallic taste. [PMID:21075995]
C0013378	CCC	Change in or modification of diminished ability to taste
C0013378	PDQ	Abnormal appreciation of the taste of foodstuffs, can be related to decreased sense of smell. Check for https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C28145 active clinical trials using this agent. (http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C28145 NCI Thesaurus)
C0013378	NCI_CTCAE	A disorder characterized by abnormal sensual experience with the taste of foodstuffs; it can be related to a decrease in the sense of smell.
C0013378	NCI_NCI-GLOSS	A bad taste in the mouth.
C0013378	NCI	Persistence of unpleasant taste.
C0013378	NCI_NICHD	Distortion of taste.
C0013378	NCI_FDA	Distortion of taste.
C0013378	MSHPOR	Afecção caracterizada por alterações da sensação de paladar que pode variar de leve a severa, incluindo distorções grosseiras da qualidade do paladar.
C0014518	NCI	A systemic, serious, and life-threatening disorder characterized by erythematous and necrotic lesions in the skin and mucous membranes that are associated with bullous detachment of the epidermis. The epidermal and mucous membranes detachment leads to sepsis and may be fatal. The lesions appear throughout the body and occupy more than 30% of the body surfaces. It is a hypersensitivity reaction usually caused by drugs (e.g., sulfonamides, nonsteroidal anti-inflammatory drugs, anticonvulsants, and antiretroviral drugs).
C0014518	NCI_CTCAE	A disorder characterized by greater than 30% total body skin area separation of dermis. The syndrome is thought to be a hypersensitivity complex affecting the skin and the mucous membranes.
C0014518	NCI_NICHD	Drug-induced rapidly evolving cutaneous reaction resulting in areas of painful skin sloughing of greater than 30% body surface area.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	CHV	An exfoliative skin disease caused by a toxic reaction to drugs, infections, and substance exposure.
C0014518	MSHCZE	Závažné kožní onemocnění, které většinou vzniká jako reakce na některé léky. Jedná se o nejzávažnější variantu erythema exsudativum multiforme. Je charakterizované vznikem puchýřů a výrazným cárovitým olupováním velkých ploch kůže (postihuje více než 30 % tělesného povrchu), postiženy jsou i sliznice. Jedná se o život ohrožující polékovou toxoalergickou reakci. (cit. Wikiskripta 2015 http://www.wikiskripta.eu/)
C0014518	MSH	An exfoliative disease of skin seen primarily in adults and characterized by flaccid bullae and spreading erythema so that the skin has the appearance of being scalded. It results primarily from a toxic reaction to various drugs, but occasionally occurs as a result of infection, neoplastic conditions, or other exposure.
C0014518	SNOMEDCT_US	An extended form of toxic epidermal necrolysis with characteristics of destruction and detachment of the skin epithelium and mucous membranes involving more than 30% of the body surface area. Lyell syndrome can be triggered by a drug allergy and, exceptionally, by infections or bone marrow transplantation. In 25 to 30% of cases, the cause is unclear. Patients should be admitted to an intensive care or burns unit as soon as the diagnosis is suspected. Prognosis is poor (mortality rate: 20-25%).
C0014518	SCTSPA	El síndrome de Lyell es una forma extendida de la necrólisis epidérmica tóxica, caracterizada por la eliminación y el desprendimiento del epitelio de la piel y de las mucosas, que afecta a más del 30% de la superficie corporal total. El síndrome de Lyell puede desencadenarse a raíz de una alergia medicamentosa y, excepcionalmente, luego de una infección o un trasplante de médula ósea. En el 25-30% de los casos la causa del síndrome no es clara. Los pacientes deben ser internados en cuidados intensivos o en una unidad de quemados en cuanto se sospecha el diagnóstico. El pronóstico es malo (tasa de mortalidad: 20-25%).
C0015230	MSH	Diseases in which skin eruptions or rashes are a prominent manifestation. Classically, six such diseases were described with similar rashes; they were numbered in the order in which they were reported. Only the fourth (Duke's disease), fifth (ERYTHEMA INFECTIOSUM), and sixth (EXANTHEMA SUBITUM) numeric designations survive as occasional synonyms in current terminology.
C0015230	MSHCZE	Výsev kožních projevů (eflorescencí), který může provázet řadu chorob (kožních, infekčních, alergických aj.). V popisu je důležitý typ eflorescence, její vývoj, event. splývání ložisek, přítomnost pruritu, lokalizace a výsev e.; samozřejmě i ostatní klinické projevy a nález na sliznicích. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz)
C0015230	MEDLINEPLUS	<p>A rash is an area of irritated or swollen skin. Many rashes are itchy, red, painful, and irritated. Some rashes can also lead to blisters or patches of raw skin. Rashes are a symptom of many different medical problems. Other causes include irritating substances and allergies. Certain genes can make people more likely to get rashes.</p> <p>Contact dermatitis is a common type of rash. It causes redness, itching, and sometimes small bumps. You get the rash where you have touched an irritant, such as a chemical, or something you are allergic to, like <a href=https://medlineplus.gov/poisonivyoakandsumac.html>poison ivy</a>.</p> <p>Some rashes develop right away. Others form over several days. Although most rashes clear up fairly quickly, others are long-lasting and need long-term treatment.</p> <p>Because rashes can be caused by many different things, it's important to figure out what kind you have before you treat it. If it is a bad rash, if it does not go away, or if you have other symptoms, you should see your health care provider. Treatments may include moisturizers, lotions, baths, cortisone creams that relieve swelling, and antihistamines, which relieve itching.</p>
C0015230	NCI_NICHD	A widespread, acute rash.
C0015230	NCI	A widespread, acute rash.
C0015230	HPO	A red eruption of the skin. [HPO:probinson]
C0015230	NCI	Any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body, or affect all the skin. Rashes may cause the skin to change color, itch, become warm, bumpy, dry, cracked or blistered, swell and may be painful.
C0015230	NCI_NICHD	An eruption in the skin which affects its appearance and/or texture.
C0015230	NCI_ACC-AHA	Any change in the skin which affects its appearance or texture. A rash may be localized to one part of the body, or affect all the skin. Rashes may cause the skin to change color, itch, become warm, bumpy, dry, cracked, or blistered, swell and may be painful.
C0015230	NCI_FDA	An eruption in the skin which effects its appearance and/or texture.
C0015230	MSHPOR	Doenças nas quais as erupções cutâneas (ou rashes) são uma manifestação proeminente. Classicamente, seis doença deste tipo foram descritas com rashes similares; estas foram numeradas na ordem em que foram relatadas. Somente as seguintes designações numéricas: quarta (doença de Duke), quinta (ERITEMA INFECCIOSO) e sexta (EXANTEMA SÚBITO), persistem como sinônimos ocasionais na terminologia atual.
C0015672	MSH	The state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.
C0015672	CSP	state of weariness following a period of exertion, mental or physical, characterized by a decreased capacity for work and reduced efficiency to respond to stimuli.
C0015672	MSHCZE	Snížení schopnosti vykonávat činnost, které vyplývá z předchozího vynaloženého úsilí, ať už fyzického, nebo psychického. Vzniká v důsledku nahromadění odpadů metabolismu v krvi či ve svalech. Psychicky je provázena zhoršeným vnímáním, sníženou pozorností, zhoršenou vštípivostí a výbavností, změnami nálady aj. (cit. Wikipedie 2016 http://www.cs.wikipedia.org/)
C0015672	MSHNOR	Tilstand av tretthet (utmattethet) etter en periode med anstrengelse, mentalt eller fysisk, kjennetegnet av redusert arbeidsevne og redusert evne til å reagere på stimuli.
C0015672	MEDLINEPLUS	<p>Everyone feels tired now and then. Sometimes you may just want to stay in bed. But, after a good night's sleep, most people feel refreshed and ready to face a new day. If you continue to feel tired for weeks, it's time to see your doctor. He or she may be able to help you find out what's causing your fatigue and recommend ways to relieve it.</p> <p>Fatigue itself is not a disease. Medical problems, treatments, and personal habits can add to fatigue. These include</p> <ul> <li>Taking certain medicines, such as antidepressants, antihistamines, and medicines for nausea and pain</li> <li>Having medical treatments, like chemotherapy and radiation</li> <li>Recovering from major surgery</li> <li>Anxiety, stress, or depression</li> <li>Staying up too late</li> <li>Drinking too much alcohol or too many caffeinated drinks</li> <li>Pregnancy</li> </ul> <p>One disorder that causes extreme fatigue is <a href=https://medlineplus.gov/chronicfatiguesyndrome.html>chronic fatigue syndrome</a> (CFS). This fatigue is not the kind of tired feeling that goes away after you rest. Instead, it lasts a long time and limits your ability to do ordinary daily activities.</p> <p class=>NIH: National Institute on Aging</p>
C0015672	HPO	A subjective feeling of tiredness characterized by a lack of energy and motivation. [HPO:probinson]
C0015672	NANDA-I	An overwhelming sustained sense of exhaustion and decreased capacity for physical and mental work at the usual level.
C0015672	SNOMEDCT_US	Fatigue refers to a lack of energy, and it may be either acute or chronic. Fatigue may result from exertion, stress, and a wide variety of underlying medical conditions, including infections, malignancies, autoimmune disorders, anxiety, and depression. It may also be an adverse effect of medical treatments such as chemotherapy. Depending on the underlying cause, fatigue may or may not be relieved by rest.
C0015672	CCC	Exhaustion that interferes with physical and mental activities
C0015672	SCTSPA	Se denomina fatiga a la falta de energía y puede ser aguda o crónica. La fatiga puede ser el resultado de ejercicio, estrés y de una amplia variedad de afecciones médicas subyacentes, incluidas infecciones, neoplasias malignas, trastornos autoinmunitarios, ansiedad y depresión. También puede ser un efecto adverso de tratamientos médicos como quimioterapia. Según la causa subyacente, la fatiga puede aliviarse o no con reposo
C0015672	NCI_NCI-GLOSS	A condition marked by extreme tiredness and inability to function due lack of energy. Fatigue may be acute or chronic.
C0015672	NCI_CTCAE	A disorder characterized by a state of generalized weakness with a pronounced inability to summon sufficient energy to accomplish daily activities.
C0015672	NCI_CDISC	Unusual tiredness and inability to perform usual activities.
C0015672	NCI_NICHD	Overall tiredness and lack of energy.
C0015672	NCI	Overall tiredness and lack of energy.
C0015672	NCI_ACC-AHA	A state of exhaustion usually caused by various etiologies such as a period of mental or bodily activity, sleep deprivation, medications, chronic disease, or other factors.
C0015672	NCI_FDA	A state of generalized weakness with a pronounced inability to summon sufficient energy to accomplish daily activities.
C0015672	MSHPOR	Estado de esgotamento, seguido a um período de esforço mental ou físico, caracterizado por uma queda na capacidade para trabalhar e reduzida eficiência para responder aos estímulos.
C0015934	MSH	Failure of a FETUS to attain expected GROWTH.
C0015934	CSP	abnormal fetal physical growth or growth potential at any gestational stage.
C0015934	HPO	An abnormal restriction of fetal growth with fetal weight below the tenth percentile for gestational age. [HPO:probinson]
C0015934	MSHCZE	Opoždění růstu a vývoje plodu o 3-4 týdny za průměrnými hodnotami v konkrétním týdnu a měsíci gravidity.
C0015934	MSHPOR	Incapacidade do FETO para atingir o CRESCIMENTO esperado.
C0016034	MSHCZE	Běžná, benigní nemoc prsu charakterizovaná různým stupněm fibrocystických změn ve tkáni prsu. Mezi tři hlavní typy morfologických změn patří fibróza, tvorba cyst a proliferace žláznaté tkáně (adenóza). Fibrocystická prsa mají nepravidelně hutnou, hrudkovitou konzistenci.
C0016034	MSH	A common and benign breast disease characterized by varying degree of fibrocystic changes in the breast tissue. There are three major patterns of morphological changes, including FIBROSIS, formation of CYSTS, and proliferation of glandular tissue (adenosis). The fibrocystic breast has a dense irregular, lumpy, bumpy consistency.
C0016034	NCI_NCI-GLOSS	A common condition marked by benign (not cancer) changes in breast tissue. These changes may include irregular lumps or cysts, breast discomfort, sensitive nipples, and itching. These symptoms may change throughout the menstrual cycle and usually stop after menopause.
C0016034	NCI	Fibrosis associated with cyst formation in the breast parenchyma.
C0016034	MSHPOR	Doença de mama comum e benigna, caracterizada por vários graus de alterações fibrocísticas no tecido mamário. Há três padrões principais de alterações morfológicas, inclusive FIBROSE, formação de CISTOS e proliferação de tecido glandular (adenose). A mama fibrocística possui uma consistência densa irregular, granulosa e áspera.
C0017181	MSH	Bleeding in any segment of the GASTROINTESTINAL TRACT from ESOPHAGUS to RECTUM.
C0017181	CSP	escape of blood from the vessels, or bleeding, in the gastrointestinal tract.
C0017181	NCI	Bleeding originating from any part of the gastrointestinal tract.
C0017181	NCI_NICHD	Hemorrhage originating at any site located within the gastrointestinal tract.
C0017181	NCI_FDA	Bleeding originating from any part of the gastrointestinal tract.
C0017181	MEDLINEPLUS	<p>Your digestive or gastrointestinal (GI) tract includes the esophagus, stomach, small intestine, large intestine or colon, rectum, and anus. Bleeding can come from any of these areas. The amount of bleeding can be so small that only a lab test can find it. </p> <p>Signs of bleeding in the digestive tract depend where it is and how much bleeding there is.</p> <p>Signs of bleeding in the upper digestive tract include</p> <ul> <li>Bright red blood in vomit</li> <li>Vomit that looks like coffee grounds</li> <li>Black or tarry stool</li> <li>Dark blood mixed with stool</li> </ul> <p>Signs of bleeding in the lower digestive tract include</p> <ul> <li>Black or tarry stool</li> <li>Dark blood mixed with stool</li> <li>Stool mixed or coated with bright red blood</li> </ul> <p>GI bleeding is not a disease, but a symptom of a disease. There are many possible causes of GI bleeding, including <a href=https://medlineplus.gov/hemorrhoids.html>hemorrhoids</a>, <a href=https://medlineplus.gov/pepticulcer.html>peptic ulcers</a>, tears or inflammation in the esophagus, <a href=https://medlineplus.gov/diverticulosisanddiverticulitis.html>diverticulosis and diverticulitis</a>, <a href=https://medlineplus.gov/ulcerativecolitis.html>ulcerative colitis</a> and <a href=https://medlineplus.gov/crohnsdisease.html>Crohn's disease</a>, <a href=https://medlineplus.gov/colonicpolyps.html>colonic polyps</a>, or cancer in the <a href=https://medlineplus.gov/colorectalcancer.html>colon</a>, <a href=https://medlineplus.gov/stomachcancer.html>stomach</a> or <a href=https://medlineplus.gov/esophagealcancer.html>esophagus</a>.</p> <p>The test used most often to look for the cause of GI bleeding is called <a href=https://medlineplus.gov/endoscopy.html>endoscopy</a>. It uses a flexible instrument inserted through the mouth or rectum to view the inside of the GI tract. A type of endoscopy called <a href=https://medlineplus.gov/colonoscopy.html>colonoscopy</a> looks at the large intestine.</p> <p class=>NIH: National Institute of Diabetes and Digestive and Kidney Diseases</p>
C0017181	HPO	Hemorrhage affecting the gastrointestinal tract. [HPO:probinson]
C0017181	MSHCZE	Krvácení do některé části GASTROINTESTINÁLNÍHO TRAKTU (od EZOFÁGU po REKTUM).
C0017181	MSHPOR	Sangramento em qualquer segmento do TRATO GASTROINTESTINAL do ESÔFAGO até o RETO.
C0017979	MSH	The appearance of an abnormally large amount of GLUCOSE in the urine, such as more than 500 mg/day in adults. It can be due to HYPERGLYCEMIA or genetic defects in renal reabsorption (RENAL GLYCOSURIA).
C0017979	CSP	presence of glucose in the urine, especially the excretion of an abnormally large amount of sugar (glucose) in the urine.
C0017979	MSHCZE	Přítomnost cukru v moči, nejč. glukosy, jako následek vyšší hladiny cukru v krvi (hyperglykemie) při diabetu. (cit. Velký lékařský slovník online, 2017 http://lekarske.slovniky.cz/ )
C0017979	HPO	An increased concentration of glucose in the urine. [HPO:gcarletti]
C0017979	MSHPOR	Aparecimento de uma quantidade grande e anormal de GLUCOSE na urina, como maior que 500 mg/dia em adultos. Pode ser devido a HIPERGLICEMIA ou defeitos genéticos na reabsorção renal (GLICOSÚRIA RENAL).
C0019080	MSH	Bleeding or escape of blood from a vessel.
C0019080	CSP	escape of blood from the vessels; bleeding.
C0019080	MEDLINEPLUS	<p>Bleeding is the loss of <a href=https://medlineplus.gov/blood.html>blood</a>. It can be external, or outside the body, like when you get a cut or <a href=https://medlineplus.gov/woundsandinjuries.html>wound</a>. It can also be internal, or inside the body, like when you have an injury to an internal organ. Some bleeding, such as <a href=https://medlineplus.gov/gastrointestinalbleeding.html>gastrointestinal bleeding</a>, coughing up blood, or <a href=https://medlineplus.gov/vaginalbleeding.html>vaginal bleeding</a>, can be a symptom of a disease.</p> <p>Normally, when you are injured and start bleeding, a <a href=https://medlineplus.gov/bloodclots.html>blood clot</a> forms to stop the bleeding quickly. Afterwards, the clot dissolves naturally. To be able to make a clot, your blood needs blood proteins called clotting factors and a type of blood cell called <a href=https://medlineplus.gov/plateletdisorders.html>platelets</a>. Some people have a problem with clotting, due to another medical condition or an inherited disease. There are two types of problems:</p> <ul> <li>Your blood may not form clots normally, known as a <a href=https://medlineplus.gov/bleedingdisorders.html>bleeding disorder</a>. This happens when your body does not make enough platelets or clotting factors, or they don't work the way they should.</li> <li>Your blood may make too many clots, or the clots may not dissolve properly</li> </ul> <p>Sometimes bleeding can cause other problems. A <a href=https://medlineplus.gov/bruises.html>bruise</a> is bleeding under the skin. Some <a href=https://medlineplus.gov/hemorrhagicstroke.html>strokes</a> are caused by bleeding in the brain. Severe bleeding may require <a href=https://medlineplus.gov/firstaid.html>first aid</a> or a trip to the <a href=https://medlineplus.gov/emergencymedicalservices.html>emergency room</a>.</p>
C0019080	MSHCZE	Únik krve z cévního systému.
C0019080	NCI_NCI-GLOSS	In medicine, loss of blood from damaged blood vessels. A hemorrhage may be internal or external, and usually involves a lot of bleeding in a short time.
C0019080	NCI	The flow of blood from a ruptured blood vessel.
C0019080	NCI_NICHD	Loss of blood.
C0019080	NCI_CDISC	The presence of extravascular erythrocytes.
C0019080	NCI_PCDC	In medicine, loss of blood from damaged blood vessels. A hemorrhage may be internal or external, and usually involves excessive bleeding in a short time.
C0019080	NCI_FDA	The loss of blood from a ruptured blood vessel.
C0019080	MSHPOR	Sangramento ou escape de sangue [a partir] de um vaso.
C0019829	MSH	A malignant disease characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue. In the classical variant, giant usually multinucleate Hodgkin's and REED-STERNBERG CELLS are present; in the nodular lymphocyte predominant variant, lymphocytic and histiocytic cells are seen.
C0019829	CSP	malignant disease characterized by progressive enlargement of the lymph nodes, spleen, and general lymphoid tissue, and the presence of large, usually multinucleate, cells (Reed-Sternberg cells) of unknown origin.
C0019829	NCI_NCI-GLOSS	A cancer of the immune system that is marked by the presence of a type of cell called the Reed-Sternberg cell. The two major types of Hodgkin lymphoma are classical Hodgkin lymphoma and nodular lymphocyte-predominant Hodgkin lymphoma. Symptoms include the painless enlargement of lymph nodes, spleen, or other immune tissue. Other symptoms include fever, weight loss, fatigue, or night sweats.
C0019829	NCI	A lymphoma, previously known as Hodgkin's disease, characterized by the presence of large tumor cells in an abundant admixture of nonneoplastic cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes.
C0019829	NCI_NICHD	A malignant neoplasm of the lymphatic system that is comprised of abnormal lymphocytes and is characterized by the presence of Reed-Sternberg cells.
C0019829	MSHCZE	Zhoubné (maligní) onemocnění lymfatických uzlin, které je charakterizováno nebolestivým zduřením lymfatických tkání a sleziny. Vyskytuje se nejčastěji u mladých osob mezi 15 a 35 lety. Příznaky tvoří teploty, ztráta hmotnosti, úbytek červených krvinek, noční pocení a zvětšení uzlin. (cit. ČESKÁ ONKOLOGICKÁ SPOLEČNOST České lékařské společnosti Jana Evangelisty Purkyně. Slovníček, 2015 http://www.linkos.cz/slovnicek/)
C0019829	MEDLINEPLUS	<p>Hodgkin disease is a type of lymphoma. <a href=https://medlineplus.gov/lymphoma.html>Lymphoma</a> is a cancer of a part of the immune system called the lymph system. The first sign of Hodgkin disease is often an enlarged lymph node. The disease can spread to nearby lymph nodes. Later it may spread to the lungs, liver, or bone marrow. The exact cause is unknown. </p> <p>Hodgkin disease is rare. Symptoms include</p> <ul> <li>Painless swelling of the lymph nodes in the neck, armpits, or groin </li> <li>Fever and chills </li> <li>Night sweats </li> <li>Weight loss </li> <li>Loss of appetite </li> <li>Itchy skin</li> </ul> <p>To diagnose Hodgkin disease, doctors use a physical exam and history, blood tests, and a biopsy. Treatment depends on how far the disease has spread. It often includes radiation therapy or chemotherapy.</p> <p>The earlier the disease is diagnosed, the more effective the treatment. In most cases, Hodgkin disease can be cured. </p> <p class=>NIH: National Cancer Institute</p>
C0019829	MSHNOR	En malign sykdom kjennetegnet av tiltakende forstørring av lymfeknutene, milten og annet lymfatisk vev og forekomst av store og vanligvis flerkjernede celler (Reed-Sternbergs celler) med ulikt opphav.
C0019829	HPO	A type of lymphoma characterized microscopically by multinucleated Reed-Sternberg cells. [HPO:probinson]
C0019829	PDQ	A lymphoma, previously known as Hodgkin's disease, characterized by the presence of Reed-Sternberg cells. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma has a bimodal age distribution, and involves primarily lymph nodes. Current therapy for Hodgkin lymphoma has resulted in an excellent outcome and cure for the majority of patients. Check for https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C9357 active clinical trials using this agent. (http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C9357 NCI Thesaurus)
C0019829	NCI	An obsolete term that refers to cases of Hodgkin lymphoma excluding cases that were classified as Hodgkin's paragranuloma and Hodgkin's sarcoma.
C0019829	NCI	An obsolete term that includes cases currently classified as nodular lymphocyte predominant Hodgkin lymphoma.
C0019829	MSHPOR	Doença maligna caracterizada por aumento progressivo de linfonodos, baço, e geralmente tecido linfoide. Na variante clássica, estão presentes células de Hodgkin e CÉLULAS DE REED-STERNBERG gigantes e usualmente multinucleadas; na variante predominante linfocítica nodular são observadas células linfocíticas e histiocíticas.
C0020625	MSH	Deficiency of sodium in the blood; salt depletion. (Dorland, 27th ed)
C0020625	CSP	abnormally low sodium levels in the blood; salt depletion.
C0020625	MSHNOR	Mangel på natrium i blodet, saltmangel, salttap.
C0020625	HPO	An abnormally decreased sodium concentration in the blood. [HPO:probinson]
C0020625	MSHCZE	Snížená hladina sodíku v krvi; úbytek soli.
C0020625	PDQ	Lower than normal levels of sodium in the circulating blood. Check for https://www.cancer.gov/about-cancer/treatment/clinical-trials/intervention/C37976 active clinical trials using this agent. (http://ncit.nci.nih.gov/ncitbrowser/ConceptReport.jsp?dictionary=NCI%20Thesaurus&code=C37976 NCI Thesaurus)
C0020625	PSY	Abnormally low blood sodium level.
C0020625	NCI_CTCAE	A disorder characterized by laboratory test results that indicate a low concentration of sodium in the blood.
C0020625	NCI	Lower than normal levels of sodium in the circulating blood.
C0020625	NCI_NICHD	Abnormally low level of sodium in the blood.
C0020625	NCI_FDA	Lower than normal levels of sodium in the circulating blood.
C0020625	MSHPOR	Deficiência de sódio no sangue; depleção de sal. (Dorland, 28a ed)
C0020649	MSH	Abnormally low BLOOD PRESSURE that can result in inadequate blood flow to the brain and other vital organs. Common symptom is DIZZINESS but greater negative impacts on the body occur when there is prolonged depravation of oxygen and nutrients.
C0020649	CSP	abnormally low blood pressure.
C0020649	MSHCZE	Snížený tlak krve (TK). Posouzení dolní hranice TK závisí do značné míry na celkovém stavu nemocného, jeho věku apod. Souvisí s celkovým množstvím krve a vazodilatací, resp. vazokonstrikcí v periferním řečišti, s funkcí srdce jako pumpy. Někteří lidé mají trvale sklon k nižšímu tlaku, zejm. při náhlém postavení (ortostatická h.). Závažný je pokles tlaku při některých chorobách, často akutních (šok, velké krevní ztráty, těžký infarkt myokardu, těžké alergie aj.). Výrazný pokles TK zhoršuje prokrvení řady důležitých orgánů (hypoperfuze), zejm. mozku, ledvin i srdce samého. (cit. Velký lékařský slovník online, 2018 http://lekarske.slovniky.cz)
C0020649	ICF	Functions related to a fall in systolic or diastolic blood pressure below normal for the age.
C0020649	ICF-CY	Functions related to a fall in systolic or diastolic blood pressure below normal for the age.
