	synonyms	scores_gpt	scores_biogpt	un_normalized_score	normalized_score	un_normalized_diff_flat	normalized_diff_flat
32	['Unspecified disorder of liver', 'Hepatic disease', 'Hepatopathy', 'Disease hepatocellular', 'Fector hepaticus', 'Hepatic pathology', 'Disorder liver']	[-5.369104783053199, -5.316957294203169, -6.387078641255787, -4.160706294614551, -5.490313711827936, -5.588163188554519, -4.852990728999026]	[-4.801205793710413, -5.025666718233935, -4.800620662108034, -8.864352748966933, -7.080356976080312, -4.927361816650013, -8.632677941334878]	[1.1182825760326154, 1.0579605836002584, 1.3304693477803582, 0.469375081570332, 0.775428940994918, 1.1341085547384804, 0.5621651545416745]	[0.4187575624316958, 0.5521946196059192, 0.151219610242973, 81.53907125135808, 3.623640259559676, 0.38160641871050616, 32.3664717740214]	[4, 4, 5, 1, 2, 5, 1]	[2, 2, 1, 5, 5, 2, 5]
33	['Chronic obstructive bronchopneumopathy', 'Chronic obstructive lung disease', 'Chronic obstructive pulmonary disease', 'COPD', 'Hyperactive airway disease', 'Chronic airflow limitation', 'Chronic obstructive airways disease', 'COAD', 'Chronic obstruct airways disease']	[-3.7067024294844617, -2.3096084200984985, -2.4258203114966146, -1.1453321779271406, -3.790892245308221, -3.2512559542509814, -3.3428834406685746, -3.1324767588378206, -3.1336757803321653]	[-1.8493494458353037, -2.196557506104449, -2.3384663738385845, -1.7606956329907624, -4.589169857415458, -2.2558086793310292, -2.0422519867186426, -4.855184211129841, -4.883995766736339]	[2.004327758516314, 1.0514673135940535, 1.0373552250463363, 0.6504998118167933, 0.8260518488289703, 1.4412817824671003, 1.6368613973242852, 0.6451818556455693, 0.6416213137764859]	[0.17417705710880907, 0.996624850770211, 1.0225669856645387, 2.064800292666364, 2.479229107752124, 0.4123935286777257, 0.30392892694600576, 6.248725409003789, 6.423672807411753]	[5, 4, 4, 2, 3, 5, 5, 2, 2]	[1, 3, 3, 4, 5, 2, 2, 5, 5]
34	['LE syndrome', 'Systemic lupus erythematosis', 'SLE', 'Disseminated lupus erythematosus', 'Syndrome lupus', 'Lupus erythematosis disseminated', 'Syndrome disseminated lupus erythematosis', 'Systemic lupus erythematosus synd', 'Systemic lupus erythematosus', 'LE systemic']	[-2.477286911677906, -5.356925498843051, -2.973435602511442, -5.900152352538381, -5.2792197758206845, -5.4395839963808665, -5.766853782474898, -5.781679256438551, -5.417507545771747, -4.163825612939747]	[-7.546353947394916, -4.452797965349267, -7.676942103104235, -4.543809012096165, -7.970619894957818, -6.72213890816902, -6.577580925921723, -5.464978319968953, -3.6888905834195467, -9.436960179523183]	[0.3282760030800162, 1.2030470595184228, 0.3873203109489531, 1.2985035983756066, 0.6623349056150949, 0.8092043426491023, 0.8767438739899325, 1.0579509959467501, 1.4686007685133882, 0.44122530282311]	[49.55144991637624, 0.12616268586738932, 34.379174441309196, 0.08026682720713622, 4.596727353701998, 1.123556834200046, 0.7009432365155824, 0.22701108044566531, 0.05531713981678949, 60.76895517516209]	[1, 5, 1, 5, 2, 3, 3, 4, 5, 1]	[5, 1, 5, 1, 5, 4, 3, 1, 1, 5]
35	['Hypermenorrhea', 'Menorrhagia', 'Menstrual flow excessive', 'Excessive menstruation', 'Menses regular with excessive bleeding', 'Bleeding menstrual heavy', 'Heavy periods', 'Prolonged heavy periods', 'Menstruation increased']	[-2.7103749867351654, -5.784016364108572, -5.271579254750233, -1.3068991977605782, -5.740362468970961, -4.271037454891854, -3.169258611982424, -5.561794906967527, -2.4730836327558596]	[-5.385043380865733, -2.0663646380637037, -6.4639855950123755, -4.78702058631967, -6.105075245775599, -7.7594388421809395, -5.1375768032171765, -5.717598896487177, -4.97294339024309]	[0.50331534864988, 2.799126667947875, 0.8155307862718312, 0.27300889440405374, 0.9402607237221194, 0.5504312285669613, 0.6168780990286741, 0.9727501015128267, 0.4973078192701826]	[4.70664996272414, 0.007880659184300537, 1.068990067414543, 10.532117402847453, 0.4672087014645254, 10.61968535253078, 2.322458194894865, 0.379125493908022, 3.9517865102908654]	[1, 5, 3, 1, 4, 1, 2, 4, 1]	[5, 1, 3, 5, 2, 5, 5, 2, 5]
36	['Multiple myeloma', 'Myeloma', 'Myelomatosis', 'Multiple myeloma myelomatosis', 'Myelomatosis multiple', 'Plasma cell myeloma', 'Peripheral plasma cell myeloma']	[-4.790835096156593, -3.8555663136880973, -4.974993751873363, -6.076741079682058, -5.791977937534775, -5.045830233150932, -5.395216637988826]	[-2.2534248146093616, -2.558445510410001, -3.7713043530646595, -2.842276273702999, -5.460134220932973, -3.9061680955557585, -4.017059123841706]	[2.126023937029867, 1.506995672958549, 1.3191705802875746, 2.1379839588095724, 1.0607757434477683, 1.2917596247053023, 1.3430762335479696]	[0.45937454628721525, 1.5878804578819665, 1.7433899867299214, 0.22879155705941662, 4.169004041251946, 1.8586654817156198, 1.4642795850641575]	[5, 5, 5, 5, 4, 5, 5]	[2, 4, 4, 1, 5, 4, 4]
37	['Optic discs blurred', 'Papilledema', 'Optic papillitis', 'Papilledema, unspecified', 'Papillitis', 'Disc congestion in ocular fundus', 'Disc oedema in ocular fundus', 'Optic disc inflammation', 'Optic disc engorgement']	[-5.599137994477721, -1.7015753645153715, -4.284302869591338, -3.6746835635033044, -2.8772395827104567, -5.982036885130602, -5.2587640442842805, -5.593507502683247, -4.879518773325784]	[-5.7935678245295525, -5.319077475974902, -4.916378317809223, -5.309232246538495, -5.250061876994356, -6.540040070880524, -6.3328077307738955, -5.423923767083295, -4.795412008051043]	[0.9664403980516757, 0.3199004662370517, 0.8714347417227356, 0.6921308755892377, 0.5480391755606635, 0.9146789347309312, 0.830400079688135, 1.03126587741316, 1.0175390071037762]	[0.1671417899262657, 5.125148478836688, 0.25891196794674787, 0.7055385039601446, 1.4762124895251432, 0.2404268413642126, 0.4028065210838741, 0.11614378251653414, 0.12650804441169655]	[4, 1, 3, 2, 1, 3, 3, 4, 4]	[1, 5, 2, 3, 4, 1, 2, 1, 1]
38	['GDU', 'Ulcer peptic', 'Peptic ulcer disease', 'Ulcer syndrome peptic', 'Peptic ulcer, site unspecified', 'Peptic ulceration', 'PUD', 'Ulcer gastroduodenal']	[-2.440508987837453, -3.1296569074562024, -2.3528177104540946, -4.011243337043364, -3.9607211795643487, -1.28937471835035, -2.9258948987538393, -4.8542230342843]	[-6.4546832217216625, -4.980571607872723, -2.5524918936253416, -4.830349402622544, -4.411271343261369, -2.7140696999808784, -4.100031325147451, -5.484748217864392]	[0.37809895606100624, 0.6283730370444218, 0.9217728433653724, 0.8304250899252832, 0.8978638744621145, 0.4750705990931014, 0.713627449821646, 0.8850402682977486]	[17.8549713606009, 2.0524258675719094, 0.3936795310320294, 0.731406276907675, 0.5059375212338377, 1.3401783803838425, 1.0431491529228538, 0.6057020543788357]	[1, 2, 3, 3, 3, 1, 2, 3]	[5, 4, 2, 3, 2, 4, 3, 2]
39	['Premature beat atrial', 'Premature atrial contraction', 'Supraventricular premature beats', 'PAC', 'Supraventricular extrasystoles', 'Extrasystoles atrial', 'Ectopic atrial beats', 'Supraventricular ectopics', 'SVE']	[-2.643012882021867, -1.5313228953787412, -3.6344713359611416, 1.2937329074702575e-06, -4.397474798625083, -4.383833247798796, -1.9579206903830217, -3.938717455380352, -3.9044731735835883]	[-6.970956664385964, -5.386741544027002, -3.837402529498876, -9.556166360048348, -4.349385622321423, -5.051838452178323, -5.034834167076274, -5.616329360121803, -7.678286347619621]	[0.37914636530805007, 0.2842762888961552, 0.9471175640351092, -1.3538199930036716e-07, 1.0110565446431934, 0.8677698800737605, 0.3888749113498579, 0.7012974494243215, 0.5085084088839733]	[2.8460665109960193, 1.774311988493991, 0.0460018015357072, 530.6813467373213, 0.03578970168882327, 0.07324094118233744, 0.8145720169204133, 0.20101132921927128, 1.6352689088303423]	[1, 1, 4, 1, 4, 3, 1, 2, 1]	[5, 4, 1, 5, 1, 1, 3, 1, 4]
40	['Itching', 'Pruritus', 'Unspecified pruritic disorder', 'Pruritis', 'Pruritus cutaneous', 'Itchy skin', 'Itchy']	[-3.111303508658164, -4.026685633616684, -6.1282677314517455, -2.4439219632722224, -5.209210174810396, -2.3744203933610883, -2.1109449503703264]	[-3.7390928912247965, -4.177477289864333, -5.398807321551655, -4.088052692931736, -4.728408833478136, -4.070043733304917, -4.421109516695639]	[0.8321011537210057, 0.9639036562536176, 1.135115103476306, 0.5978205631981642, 1.101683538430113, 0.5833894053597882, 0.4774694999973803]	[0.4965724326920889, 0.30819467133899014, 0.1278016646090314, 1.372062973833446, 0.1638806854881307, 1.4445647105801662, 2.670723112006668]	[3, 4, 5, 2, 4, 2, 1]	[2, 2, 1, 4, 1, 4, 5]
41	['Purpura allergic', 'Schoenlein-Henoch purpura', 'Purpura vascular allergic', 'Anaphylactic vascular purpura', 'Anaphylactoid vascular purpura', 'Henoch Shonlein purpura', 'Henoch-Schonlein', 'Purpura anaphylactoid']	[-5.690984168072827, -6.983884152080831, -5.458587090265044, -4.787576476516976, -5.133199462677187, -7.8491035296937275, -7.702407271366536, -4.695079963387419]	[-5.603271683902365, -5.053488634330816, -5.268850015763423, -4.558815866840798, -4.101602163993088, -5.590976268210148, -4.3193661813802775, -4.641769924086266]	[1.015653798194803, 1.3819926505099658, 1.0360110980449173, 1.05017983098201, 1.2515108139302797, 1.4038878280208618, 1.7832262762462037, 1.0114848517210053]	[1.9263385677254758, 0.3051163964005935, 1.7394978778208088, 1.6729239445323845, 0.7495638847603182, 0.2198535378521785, 0.0713821443624164, 1.99376244754801]	[4, 5, 4, 4, 5, 5, 5, 4]	[4, 2, 4, 4, 3, 1, 1, 4]
42	['Babinski sign positive', 'Reflex Babinski positive', 'Reflex plantar extensor', 'Reflex plantar upgoing', 'Sign Babinski present', 'Positive Babinski', 'Positive Babinski response', 'Upgoing plantars', 'Plantar response extensor']	[-8.818330471159934, -6.974905557965684, -4.776453829921894, -5.746080638064499, -8.363293963973163, -5.119278210308554, -5.923679657118018, -6.719076316435067, -5.2806370725066945]	[-6.354858997674885, -6.202195542086246, -6.140312195753618, -6.437471583346728, -6.634035836362206, -7.053818752003669, -6.892401366752509, -8.974545963514423, -7.8797231017663565]	[1.387651633873605, 1.1245865291792332, 0.7778845240515765, 0.8925989907169755, 1.2606645743655194, 0.7257456408068892, 0.8594507693200515, 0.7486814757817435, 0.6701551570159822]	[0.034242775751150076, 0.18571942611497702, 1.5731031162742384, 0.8029866063180675, 0.07135653720362464, 2.7835646420904805, 1.0596233551212948, 3.8368873696020596, 5.410155520207779]	[5, 5, 2, 3, 5, 2, 3, 2, 2]	[1, 1, 4, 3, 1, 5, 3, 5, 5]
43	['Acute respiratory distress syndrome', 'Respiratory distress syndrome', 'Adult respiratory distress syndrome', 'Shock lung', 'Adult respiratory stress syndrome', 'ARDS', 'Syndrome adult respiratory', 'Adult respiratory distress syndr', 'Adult RDS', 'A.R.D.S.']	[-4.408848992690165, -3.9548820307970503, -3.54493073163185, -5.188572686965765, -4.2221486110491675, 2.25667795561435e-09, -4.750011755587094, -4.701333310583779, -4.840945731703398, -3.900207535417974]	[-2.1233699952759686, -2.9395425589517936, -2.4022530263686273, -3.7672094635239723, -4.368283623808344, -5.602438943023332, -5.872618413994896, -3.5254251068556512, -7.0987582587275275, -5.774090911114341]	[2.0763451506326662, 1.3454073045322108, 1.4756691708660494, 1.3772986974056394, 0.9665463542791269, -4.028027754634562e-10, 0.8088405240612015, 1.3335507543307104, 0.6819426095756571, 0.6754669428412712]	[0.030590013632614526, 0.10894172752234357, 0.09591620022847705, 0.07258725662126135, 0.34802962796885867, 81.51901187078379, 0.9240436027397791, 0.0927812338134462, 2.8754519137121703, 1.9586994321112443]	[5, 5, 5, 5, 4, 1, 3, 5, 2, 2]	[1, 1, 1, 1, 2, 5, 3, 1, 5, 4]
44	['Acute circulatory failure', 'Shock', 'Collapse cardiovascular', 'Collapse circulatory', 'Failure circulatory', 'Shock circulatory', 'Vascular collapse', 'Shock, unspecified', 'Shock vascular', 'Peripheral circulatory failure', 'Collapse peripheral circulatory', 'Collapse peripheral vascular']	[-3.240044528302362, 1.4386627356088866e-07, -4.753222001757794, -2.8481041399797786, -4.975090568315794, -4.118452527718438, -3.5836027526594783, -4.759549335165228, -6.029466749820684, -3.3136141309883445, -4.297903367492362, -4.329696778064715]	[-3.6580993845764183, -6.169812347002496, -6.7399340164670924, -6.2187152734299636, -7.914342546690473, -7.464848749825113, -4.576399743788269, -5.018640817683179, -7.537444962049271, -3.8322474186383335, -6.14547254874207, -5.793405753123635]	[0.8857180157442704, -2.3317771346933066e-08, 0.7052327204012178, 0.45798915286386677, 0.6286170378607405, 0.5517127896013868, 0.7830615665783232, 0.9483741730220974, 0.7999350947408311, 0.8646660220507713, 0.6993609252021, 0.7473491349592196]	[0.09413473196732607, 29.628283550559885, 0.45186534822147045, 1.8031372654931794, 1.1713640424320972, 1.7599988606658774, 0.16724657319915173, 0.08029952463677878, 0.2799610344495277, 0.10409516264842218, 0.39316972930793165, 0.2678376982824395]	[3, 1, 2, 1, 2, 1, 2, 4, 3, 3, 2, 2]	[1, 5, 2, 4, 4, 4, 1, 1, 2, 1, 2, 2]
45	['Hypersalivation', 'Sialorrhea', 'Increased salivation', 'Ptyalism', 'Salivary hypersecretion', 'Saliva increased', 'Saliva secretion excessive', 'Saliva secretion increased']	[-4.47748481904608, -5.42660567245054, -1.8108263771594622, -7.202138310051019, -4.233431054023491, -3.7121543714939462, -5.956151925526944, -4.787315312235733]	[-2.714711139067992, -5.369185270517993, -3.2353929146606717, -6.143189053352759, -4.7302379167213084, -3.6970642693780214, -4.911990904257603, -3.554265766548265]	[1.6493411599523915, 1.010694434823816, 0.5596928796357279, 1.1723777743939556, 0.8949721194907313, 1.0040816445201974, 1.2125738914468034, 1.3469210314244304]	[0.13580287887268047, 0.7473679934679747, 3.2896768983100735, 0.2745212955991776, 1.300865325395784, 0.779683440754034, 0.27861114746032595, 0.23065625959003797]	[5, 4, 1, 5, 3, 4, 5, 5]	[1, 3, 5, 2, 4, 3, 2, 1]
46	['Syncope', 'Fainting', 'Faintness', 'Syncope and collapse', 'Collapse transient', 'Falling out', 'Passed out', 'Swooning', 'Collapse fleeting', 'Syncopal attack']	[-0.4797238540193914, -3.0354037073496154, -5.064756000396525, -3.9357908655402687, -5.443569542940467, -3.74334968234745, -4.7094547530905055, -4.74966729840281, -6.3736588380141646, -4.6652261912251]	[-4.835130897608761, -4.958226489146901, -5.817227779507109, -5.691423210775602, -6.7856599863715665, -4.886314290714596, -6.23790216148602, -8.361717702454865, -6.3749330560666895, -7.220909390941301]	[0.09921631165283266, 0.612195452142784, 0.8706477023709839, 0.691530170887418, 0.8022166677778467, 0.7660886016810037, 0.7549741293102614, 0.5680253109966131, 0.9998001205594916, 0.6460718364750111]	[3.5978469467087137, 0.3159255591034767, 0.09801843867243012, 0.2672851796071796, 0.17675671136647658, 0.1448427165069784, 0.21296572557672366, 1.7108305539291029, 0.04624521733476251, 0.5948843585612439]	[1, 2, 3, 2, 3, 2, 2, 1, 4, 2]	[5, 2, 1, 2, 1, 1, 1, 4, 1, 2]
47	['Heart racing', 'Tachycardia', 'Heart rate increased', 'Pulse rate increased', 'Pulse rapid', 'Tachycardia, unspecified', 'Heartbeats increased', 'Heart rate high', 'Quick pulse', 'Pulse increased', 'High pulse rate']	[-3.896428745005538, -0.9799000537158619, -2.014794389030443, -3.228961668809604, -3.9741042799981745, -3.492524613902436, -4.430041582157793, -2.5159489607334335, -1.274844627830593, -3.6787933125977155, -2.4937551898576378]	[-6.321006954460276, -2.48595443043452, -4.109601455033107, -5.323708643205483, -8.443644598483582, -3.252469388036683, -6.282233193811836, -4.712078874113194, -5.690194053508402, -7.5005525614690685, -5.191415901003168]	[0.6164253216421651, 0.3941745841031306, 0.49026515370800405, 0.606524865505299, 0.47066219256929587, 1.0738070669469575, 0.7051698727964285, 0.5339360880725773, 0.22404238165560666, 0.4904696397297404, 0.4803612805084167]	[1.703877105281356, 0.6800305684335742, 1.2252380615075298, 1.225164437195844, 13.169037278793244, 0.11863222344137316, 0.961288897627979, 1.3558899228956256, 12.474387231547897, 6.890112024618329, 2.2389092519598686]	[2, 1, 1, 2, 1, 4, 2, 1, 1, 1, 1]	[4, 3, 4, 4, 5, 1, 3, 4, 5, 5, 5]
48	['CAT', 'CAT scan', 'CT scan', 'Computerized axial tomography', 'EMI scan', 'Computer-assisted transaxial tomography', 'Computerized axial tomogram', 'Computerized transverse axial tomogram', 'Computerized transverse axial tomography', 'Computerised tomogram', 'Computerized tomography', 'CTT', 'CT', 'CTT scan']	[-2.8705215979188683, -5.466653974824428, -3.7229913249996045, -4.649243599768643, -4.257236573228439, -5.891315930421696, -5.41190202532799, -5.711001590581053, -5.139007771411543, -5.469272156645081, -2.985146747788692, -2.6061623686952546, 5.209959113017248e-07, -5.8158988532485765]	[-5.599782904913731, -4.791926417726718, -2.9058393263641125, -4.070595573791805, -5.899257884759805, -4.797244494013035, -4.051210031081792, -4.851701410254871, -5.027308120257498, -5.558511833248441, -2.366597293587139, -4.728604885863792, -2.5386104357859938, -4.967215011230919]	[0.5126130149438518, 1.1408050746776282, 1.281210317178115, 1.1421531605110602, 0.7216562924341079, 1.228062471648894, 1.335872982098352, 1.1771131625103535, 1.022218580696089, 0.9839454013447323, 1.2613665856365426, 0.5511482628811727, -2.0522877553696666e-07, 1.1708570778794105]	[3.8886759616450637, 0.12926119759804974, 0.11210217175765783, 0.14229675144889345, 1.3110505133958117, 0.08498640185474589, 0.06509649501016383, 0.10747545775990451, 0.2269802594143657, 0.2774948511292056, 0.13673069314069583, 2.1196477942791883, 3.2136854046709153, 0.1086225316681343]	[1, 5, 5, 5, 2, 5, 5, 5, 4, 4, 5, 1, 1, 5]	[5, 1, 1, 1, 4, 1, 1, 1, 1, 2, 1, 4, 5, 1]
49	"['Gilles de la Tourette syndrome', ""Gilles de la Tourette's disorder"", ""Tourette's disorder"", 'Gilles de la Tourette', ""Brissaud's II"", ""Guinon's myospasia impulsiva"", 'Tourette syndrome']"	[-4.061248845272439, -4.454421012237034, -6.3901787882086625, -4.115181001266339, -7.803478374533211, -8.0842101674458, -6.186066940013529]	[-2.8821586749791606, -3.277240366940162, -5.294528558162509, -3.245224780173474, -7.709677675574359, -8.755258449715285, -5.0451006739942885]	[1.4090996725923854, 1.3591987506232146, 1.2069400925899254, 1.2680727160743426, 1.0121666174522483, 0.9233548288581581, 1.2261533197742749]	[0.8971525318568597, 0.898867303720853, 0.9752226798520794, 1.2221413981435967, 2.655837603854918, 5.70651821423421, 0.932015829086453]	[5, 5, 5, 5, 4, 4, 5]	[3, 3, 3, 4, 5, 5, 3]
50	['Hives', 'Urticaria, unspecified', 'Urticarial rash', 'Urticaria', 'Urticated rash', 'Urticarial', 'Urtication']	[-3.2885115384102566, -4.6817092854050255, -4.596169281521294, -2.9995538168861215, -7.553434351251926, -3.8464242302153573, -7.364228384489821]	[-7.16550560810684, -5.290926894362749, -6.748050190091037, -5.838636943795059, -8.613010202758907, -6.869960624605444, -8.455732733930418]	[0.45893642657815137, 0.8848561658247787, 0.6811107137689039, 0.5137421363515094, 0.8769796126367552, 0.5598902876443, 0.870915462469538]	[4.240308843953273, 0.16151773088361748, 0.755423277800462, 1.5018912756821277, 0.2534009882750117, 1.8061155458778875, 0.26162224905535303]	[1, 3, 2, 1, 3, 1, 3]	[5, 1, 3, 4, 1, 4, 2]
51	['Venous stasis ulcer', 'Stasis ulcer', 'Varicose ulceration', 'Ulcerated varicose veins', 'Venous ulceration', 'Varicose veins (with ulceration)']	[-3.664634113461083, -3.2392037180118107, -3.9124957923058408, -5.0664357304230325, -2.775023409136165, -4.725674570902022]	[-3.135668243975759, -4.656503927043474, -3.6869586347089043, -4.867189425696757, -3.479070616924649, -4.942373409681621]	[1.1686931870109578, 0.695629976643971, 1.0611715996685553, 1.04093662426088, 0.7976335391516624, 0.956154903562101]	[0.44898702531940365, 3.1440280303119437, 0.6081506934798795, 0.6243515275889504, 1.5407230030878227, 0.9463937406131845]	[5, 2, 4, 4, 2, 4]	[2, 5, 3, 3, 4, 3]
52	['Vertigo', 'Head revolving round', 'Head spinning', 'Vertigo subjective', 'Rotatory vertigo', 'Head revolving around', 'Spinning sensation', 'Spinning']	[-0.017438887709109025, -6.458390894745661, -3.851758609006856, -3.9572088172248177, -1.9603599798339022, -4.920757648834047, -3.9973872043271874, -2.990236731478193]	[-4.534734957857044, -6.804542878022009, -8.173588583285172, -6.817497952200753, -4.658675217276637, -6.044999137791358, -7.001081807719414, -6.5457575970223525]	[0.0038456244678410113, 0.949129281792847, 0.4712444931328727, 0.5804488457451451, 0.4207977350650958, 0.8140212325376657, 0.5709670753910712, 0.4568205722800434]	[2.022334304810323, 0.031213903881518092, 1.6632713315787915, 0.3856772132325693, 0.32800435539628314, 0.06796229991772434, 0.4451477514964945, 0.7729640304083111]	[1, 4, 1, 2, 1, 3, 1, 1]	[4, 1, 4, 2, 2, 1, 2, 3]
53	['Salivary hyposecretion', 'Asialia', 'Xerostomia', 'Dry mouth', 'Aptyalism', 'Saliva decreased', 'Oral dryness', 'Aptyalia', 'Mouth became dry']	[-5.599008166702725, -5.147431023407614, -5.654785856000819, -4.113126313819226, -8.502606240963134, -3.0011015585279943, -3.5523651771184124, -9.396928283378129, -5.7033901127434135]	[-5.180108187869258, -6.788494569418521, -4.646320959755268, -2.83530042573233, -7.517500250390859, -3.6500390990377936, -3.1458151926569866, -8.90718135618485, -5.943471943046718]	[1.0808670328188212, 0.7582581043220198, 1.2170458960929529, 1.4506844764984106, 1.1310416970749095, 0.8222107975005338, 1.129235177390713, 1.0549833788725111, 0.9596057939527793]	[0.8703253062082178, 6.828297009927381, 0.4826550129423174, 0.36868445683824796, 0.494062014731571, 2.5318475605177433, 0.8811404649541107, 0.810798941099112, 1.6821850731487427]	[4, 2, 5, 5, 5, 3, 5, 4, 4]	[3, 5, 2, 2, 2, 5, 3, 3, 4]
54	['Antinuclear antibody positive', 'Antinuclear factor positive', 'ANA positive', 'Antinuclear antibody present', 'Antinuclear factor test positive', 'ANA present', 'ANA +ve', 'ANF +ve', 'Positive ANF', 'Antinuclear antibody +ve']	[-5.520794492148186, -6.862618633016838, -5.298117641281814, -5.702204706064575, -6.208063751665691, -5.4697560865707615, -6.439643314118673, -6.498571064736467, -3.84370435239267, -6.584229668413198]	[-5.205576598174332, -5.809326211678641, -6.3963603331051, -5.29565470841014, -6.1320124253039126, -7.357901177180252, -6.42924001662681, -7.20224641340944, -6.844148423932185, -5.5618584335396895]	[1.0605538864002895, 1.1813106000521603, 0.8283019350646641, 1.076770488266311, 1.012402343812604, 0.7433853696669138, 1.0016181224320384, 0.9022977959539344, 0.5616044706091189, 1.183818277126275]	[0.4046635839291363, 0.1934427373354091, 1.6632297951778166, 0.36934233876301, 0.5139996746955113, 3.6643969196959163, 0.5488749629810659, 1.1209696039696118, 11.144685544340211, 0.19951765408225183]	[4, 5, 3, 4, 4, 2, 4, 3, 1, 5]	[2, 1, 4, 2, 2, 5, 2, 4, 5, 1]
55	['Atrioventricular block third degree', 'AV block complete', 'Third degree AV block', 'Complete heart block', 'Atrioventricular block, complete', 'Heart block AV complete', 'Heart block AV third degree', 'Heart block third degree']	[-4.697542138335035, -5.093940768680496, -5.278595505970041, -4.243853193369059, -4.615034398796807, -6.62998546688577, -6.418042612163504, -5.576318002783484]	[-3.922422483969085, -6.516163338140128, -4.676798292156475, -3.6484601294283974, -3.713913876226447, -5.221607305275304, -5.042499710032568, -4.385354452799745]	[1.1976124850226766, 0.7817392696197255, 1.128677179604442, 1.1631902344603506, 1.242633661576975, 1.2697211948871765, 1.2727898822471229, 1.2715774888443492]	[0.9448199358307949, 8.504379874062586, 1.1236266415075844, 1.1308456059132979, 0.8329665597798296, 0.5015663280602659, 0.518308755344159, 0.623376375016806]	[5, 2, 5, 5, 5, 5, 5, 5]	[3, 5, 4, 4, 3, 2, 2, 3]
56	['Red blood cell sedimentation rate decreased', 'Sedimentation rate decreased', 'Erythrocyte sedimentation rate decreased', 'ESR low', 'ESR decreased', 'Sedimendation rate erythrocytes decreased', 'Erythrocyte sedimentation rate low', 'ESR retarded']	[-2.7841933783113824, -3.719618729121017, -2.4031367533937886, -4.872735374886861, -4.581946098704887, -4.627254710977583, -2.778864088821992, -5.738658953430829]	[-4.879009272236334, -6.527711776325267, -5.509217191967299, -9.970287244834568, -8.659351297021052, -8.121099149711567, -5.413833911608222, -11.187278401829623]	[0.570647281642739, 0.5698196943393466, 0.4362029431146182, 0.4887256761244607, 0.5291327192466653, 0.5697818270254621, 0.5132894976448416, 0.5129629162077795]	[0.5457715478469758, 1.1137384751354515, 1.5003669977010128, 10.992147724797132, 3.9631315295987473, 2.2110637697009716, 0.9366918941108281, 15.615261747175632]	[1, 1, 1, 1, 1, 1, 1, 1]	[2, 4, 4, 5, 5, 5, 3, 5]
57	['Gamma-glutamyltransferase incr.', 'Gamma glutamyl transpeptidase increased', 'Gamma-glutamyltransferase increased', 'Gamma-GT increased', 'Gamma GT raised', 'GGTP inc', 'GGTP increase', 'Gamma-glutamyltransferase high', 'GGT increased']	[-3.5584177584251293, -4.3476612963947145, -3.391886729217679, -4.380239225249626, -6.4305775134578145, -6.528893993134804, -5.692567413025274, -3.429960464040304, -4.7064374251074454]	[-5.96896985201105, -5.1580452224864715, -5.0332368179510345, -6.563646363584185, -6.966079498458967, -8.89073603121266, -5.856973923392735, -5.418176957142232, -7.914111838903946]	[0.5961527443845669, 0.8428893328505744, 0.6738977027904823, 0.6673484497202139, 0.9231272073309504, 0.7343479741400318, 0.9719297861800577, 0.6330469623216967, 0.594689274161086]	[2.0543748270058306, 0.4147013790723354, 0.9519617499480905, 1.6369366944861383, 0.3150327972393999, 1.9567041969668715, 0.21736571922422634, 1.3466714842940992, 4.558957146549366]	[2, 3, 2, 2, 3, 2, 4, 2, 2]	[4, 2, 3, 4, 2, 4, 1, 4, 5]
58	['Gonadotropic follicle stimulating hormone decreased', 'Follicle-stimulating hormone decreased', 'Gonadotropic FSH decreased', 'Follicle stimulating hormone decr', 'FSH decreased', 'Follitropin decreased', 'Follitropin low']	[-5.029341511762012, -3.9267234888473026, -6.046888431909715, -4.5475548654023195, -4.913199664024709, -5.53766228892174, -4.951611614825704]	[-4.62223707160743, -4.454530319828686, -5.559386569947141, -4.6091828474923675, -7.029702947903181, -5.101154949488835, -5.034274154518522]	[1.0880751968901081, 0.8815123496562748, 1.0876898657484813, 0.9866293041241406, 0.6989199544328139, 1.0855702960908187, 0.9835800480554631]	[0.5636828554641152, 1.4356931622599185, 0.5201381027498069, 0.9007468050006915, 7.031107449742923, 0.547350235089629, 0.9198942890009099]	[4, 3, 4, 4, 2, 4, 4]	[2, 4, 2, 3, 5, 2, 3]
59	['Gonadotropic follicle stimulating hormone increased', 'Follicle-stimulating hormone increased', 'FSH elevated', 'Gonadotropic FSH increased', 'Follitropin high', 'FSH increased', 'Follitropin increased']	[-4.7598341451478765, -3.9278688009289833, -5.720014173052626, -5.989339222147982, -4.821320065304937, -4.976593256220613, -5.128398098181222]	[-4.068885893304073, -3.3236899863694127, -5.812002389610214, -5.129320227380105, -4.585958633842798, -5.17403082163817, -4.210065812291104]	[1.1698126391258246, 1.1817795333010397, 0.9841727152896513, 1.1676672456863055, 1.051322188064509, 0.9618406669338229, 1.2181277744421684]	[0.84612043512156, 0.9228171815503785, 1.851216327167168, 0.714505692787112, 1.3344153410860264, 2.057089759939859, 0.6740320580999176]	[5, 5, 4, 5, 4, 4, 5]	[3, 3, 4, 3, 4, 4, 3]
